Title;Company;Location;Date;Link
Flight Data Monitoring (FDM) Analyst;HI FLY;Lisboa, Portugal;Há 6 horas;https://pt.linkedin.com/jobs/view/flight-data-monitoring-fdm-analyst-at-hi-fly-2719778637?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=97lVO7Zsqrlb9cov7Lz7rg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst;GroupM Portugal;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/marketing-data-analyst-at-groupm-portugal-2715105427?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=z3jtD%2F0uczW%2F6g8o7c0qcw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-bnp-paribas-cib-2701712289?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=ukaTrWtbTZNfS5gyDMieVw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;NEX T Engineering;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-nex-t-engineering-2711129078?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=REM%2FJYUvOKE7rNp1bcHFuQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Valuation Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/valuation-data-analyst-at-bnp-paribas-cib-2705607776?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=tByU%2BfJEk4ye1vIrxepTwQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Master Data Analyst;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-at-michael-page-2717925566?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=cuZahQYlQmLzv%2FNcul8BWw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Master Data Analyst - m/f;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-m-f-at-michael-page-2719880135?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=5kg4BPB8NmA5YW%2F5h9VrSQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
HR Data Analyst;Amgen;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/hr-data-analyst-at-amgen-2687295400?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=5DArAs%2Fu9xw82Zfka22OHw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Quality Data Analyst- Power BI;ConvaTec;Lisboa, Lisboa, Portugal;Há 6 horas;https://pt.linkedin.com/jobs/view/quality-data-analyst-power-bi-at-convatec-2674470471?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=rqZ35zxmbCi8%2BUuSkGskFw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-data-analyst-m-f-at-nbcc-2723043920?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=wsb1tVWK6lTz%2BNe98GBgBw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Analista de dados;Blend Euro;Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/analista-de-dados-at-blend-euro-2714792538?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=R0%2FmUjdrNqUBBTAHFe4yRQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
