Title;Company;Location;Date;Link
Master Data Analyst;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-at-michael-page-2717925566?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=bZjTURVtgQJsAGSn5zd4VA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Quality Data Analyst- Power BI;ConvaTec;Lisboa, Lisboa, Portugal;Há 9 horas;https://pt.linkedin.com/jobs/view/quality-data-analyst-power-bi-at-convatec-2674470471?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=OzmgTJO1DGYdER5a3yvFZw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Data Consultant & Data Analyst;Keyrus;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-data-consultant-data-analyst-at-keyrus-2711288407?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=fWDcUbPqkjMhTMYJZ6WTYA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Investment Data Analyst;Michael Page;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/investment-data-analyst-at-michael-page-2662180606?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=TEb20x6piI%2Fkh%2BU4eYlOHg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Master Data Analyst - m/f;Michael Page;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/master-data-analyst-m-f-at-michael-page-2719880135?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=ZtwCAsosoXor2HKpqASHXQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Big Data Analyst (Lisbon);KCS iT;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-lisbon-at-kcs-it-2720316762?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=f%2FsM4su83WGWe1pE5apM5g%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Big Data Analyst;KCS iT;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-at-kcs-it-2700255781?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=bVOAxZn7iDsV4Zq1eaGZPQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
Data & Analytic Expert;Nestlé;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analytic-expert-at-nestl%C3%A9-2714193242?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=12UEpEdlKAjsV9Zh7i%2BJOA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Anúncio de emprego: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/an%C3%BAncio-de-emprego-data-analyst-m-f-at-nbcc-2723043920?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=ttIvbIbCl8QveLoC3bKqiw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Credit Risk Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/credit-risk-data-analyst-at-bnp-paribas-cib-2710151880?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=3%2BoLL6kmSzus83mI5QHzZA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
